ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009809	lignin biosynthetic process	25/1647	50/10738	9.43270604556323e-09	3.93343842099987e-06	3.4454199976952e-06	Os01g0293000/Os01g0323600/Os03g0123500/Os03g0273200/Os03g0819600/Os02g0177600/Os02g0187800/Os02g0467000/Os02g0626100/Os04g0101400/Os04g0229100/Os04g0513100/Os04g0518400/Os06g0131700/Os06g0521500/Os05g0322900/Os05g0455200/Os05g0494000/Os08g0157500/Os08g0441500/Os09g0399800/Os09g0400000/Os09g0400400/Os09g0494200/Os09g0532900	25
GO:0009807	lignan biosynthetic process	14/1647	19/10738	2.05831474704131e-08	4.29158624758113e-06	3.75913272222807e-06	Os02g0177600/Os02g0467600/Os02g0611800/Os02g0626100/Os02g0626400/Os04g0500700/Os06g0165800/Os05g0320700/Os08g0157500/Os08g0441500/Os08g0448000/Os08g0498100/Os10g0512400/Os09g0419200	14
GO:0009834	plant-type secondary cell wall biogenesis	20/1647	38/10738	9.59014770898951e-08	1.33303053154954e-05	1.16764254562083e-05	Os01g0750300/Os03g0123500/Os03g0301200/Os03g0416200/Os02g0177600/Os02g0187800/Os02g0626100/Os04g0650300/Os04g0650366/Os06g0131700/Os05g0123100/Os05g0159300/Os05g0356700/Os05g0563000/Os08g0151300/Os08g0157500/Os08g0441500/Os10g0467800/Os09g0422500/Os09g0532900	20
GO:0009753	response to jasmonic acid	74/1647	275/10738	4.13644745938125e-07	4.31224647640495e-05	3.77722965369814e-05	Os01g0182700/Os01g0248701/Os01g0289600/Os01g0297200/Os01g0307500/Os01g0547600/Os01g0570800/Os01g0597600/Os01g0699600/Os01g0714600/Os01g0718000/Os01g0752200/Os01g0760000/Os01g0821300/Os03g0159100/Os03g0180800/Os03g0187800/Os03g0196600/Os03g0228800/Os03g0285800/Os03g0300400/Os03g0407900/Os03g0633500/Os03g0676400/Os03g0741100/Os03g0742900/Os03g0764100/Os03g0793000/Os02g0462800/Os02g0570400/Os02g0624300/Os02g0626100/Os02g0677300/Os02g0771600/Os02g0787800/Os04g0301500/Os04g0492400/Os04g0497700/Os04g0578000/Os04g0604300/Os06g0202900/Os06g0226500/Os06g0298200/Os05g0204600/Os05g0226900/Os05g0429900/Os05g0531000/Os05g0582300/Os07g0580500/Os07g0629000/Os07g0676600/Os07g0677200/Os07g0686800/Os11g0134700/Os11g0143300/Os11g0154300/Os11g0474800/Os11g0523800/Os11g0707000/Os08g0173600/Os08g0260600/Os08g0443800/Os08g0457400/Os12g0149900/Os12g0555000/Os12g0555500/Os10g0395000/Os10g0411500/Os09g0110300/Os09g0417600/Os09g0417800/Os09g0522000/Os09g0522200/Os09g0533600	74
GO:0009411	response to UV	31/1647	90/10738	5.41734994396218e-06	0.000427488644357767	0.000374450484897502	Os01g0106900/Os01g0764400/Os03g0254800/Os03g0285800/Os03g0718000/Os02g0177600/Os02g0187800/Os02g0467000/Os02g0569400/Os02g0593500/Os02g0626100/Os02g0626400/Os02g0749300/Os02g0805200/Os04g0104900/Os04g0178300/Os04g0178400/Os04g0229100/Os04g0463500/Os05g0564400/Os05g0578500/Os07g0622200/Os11g0116300/Os08g0140300/Os08g0157500/Os08g0203700/Os08g0441500/Os12g0115700/Os10g0576900/Os09g0127300/Os09g0539100	31
GO:0009813	flavonoid biosynthetic process	17/1647	36/10738	6.15091574615492e-06	0.000427488644357767	0.000374450484897502	Os01g0179600/Os01g0638000/Os01g0850900/Os03g0367101/Os03g0367150/Os03g0367200/Os03g0819600/Os02g0188000/Os06g0165800/Os06g0593800/Os06g0608700/Os05g0494000/Os11g0116300/Os11g0599200/Os12g0115700/Os10g0317900/Os09g0441400	17
GO:0009808	lignin metabolic process	12/1647	23/10738	4.21443736626407e-05	0.0025106005453316	0.00219911243021599	Os03g0223400/Os03g0301200/Os03g0416200/Os02g0187800/Os02g0624300/Os04g0229100/Os05g0320700/Os10g0512400/Os09g0399800/Os09g0400000/Os09g0400400/Os09g0422500	12
GO:0009698	phenylpropanoid metabolic process	10/1647	17/10738	4.83552750362509e-05	0.00252051871126458	0.00220780005757619	Os03g0841600/Os02g0177600/Os02g0626100/Os04g0229100/Os06g0656500/Os11g0154500/Os08g0157500/Os08g0243500/Os08g0245200/Os08g0448000	10
GO:0002237	response to molecule of bacterial origin	16/1647	38/10738	6.69473518152428e-05	0.00310189396743958	0.00271704457074728	Os01g0705700/Os03g0821900/Os02g0126400/Os02g0626100/Os02g0627100/Os06g0158100/Os05g0322900/Os05g0439400/Os05g0474800/Os08g0119800/Os12g0555500/Os12g0595800/Os10g0112100/Os10g0444700/Os09g0417600/Os09g0417800	16
GO:0030912	response to deep water	28/1647	90/10738	0.00012089022375008	0.00504112233037834	0.00441567448855556	Os01g0298400/Os01g0773800/Os01g0845100/Os03g0188900/Os03g0341000/Os03g0437200/Os03g0694000/Os03g0764100/Os03g0858600/Os02g0646200/Os02g0677300/Os02g0777800/Os02g0802700/Os04g0619400/Os06g0202900/Os06g0340200/Os05g0128200/Os05g0537100/Os07g0225300/Os07g0674800/Os11g0154500/Os08g0190100/Os08g0457400/Os12g0547600/Os12g0601400/Os10g0431900/Os09g0442100/Os09g0522100	28
